,title,links,size,language
39,Les Actes des Apôtres,https://download.library.lol/main/4202000/440ed23a6488dc422d44df475c1580dc/P%20Faure%20-%20Les%20Actes%20Des%20Apotres_%20Texte%20Occidental%20Reconstitue%20%28Etudes%20Bibliques%29%20%28French%20Edition%29-Peeters%20%282019%29.pdf,13 Mb,French
40,Hébreux —  ,https://download.library.lol/main/210000/735726d05c2b9972221146208757e467/%20-%20Hachette%20Peter%20Connolly%20Aux%20temps%20des%20Hebreux%2040%20AC-70%20DC.pdf,21 Mb,English
41,Hébreux —  ,https://download.library.lol/main/471000/d98326d387d5332c6f2ebea0042eb779/Peter%20Connolly%20-%20Au%20temps%20des%20Hebreux--_%2040%20av.%20J.-C.%20-%2070%20ap.%20J.-C%20%28La%20Vie%20privee%20des%20hommes%29%20%28French%20Edition%29-Hachette%20%281984%29.pdf,21 Mb,French
42,Hébreux —  ,https://download.library.lol/main/510000/a9def65087f2759370384c98c7a5783e/Arsene%20Darmesteter%20-%20Glosses%20et%20glossaires%20Hebreux-Francais.pdf,12 Mb,French
43,Hébreux —  ,https://download.library.lol/main/4127000/6c7a8d3c64835697634565c813b144e3/Franck%20Adolphe%20-%20LA%20KABBALE%20OU%20LA%20PHILOSOPHIE%20RELIGIEUSE%20DES%20H%C3%89BREUX%20%282009%29.epub,676 Kb,French
44,Hébreux —  ,https://download.library.lol/main/4190000/b5e87f776b67b6b5ad0fa4ae2d9ebf8e/St%C3%A9phane%20Encel%20-%20Les%20H%C3%A9breux%20-%202e%20%C3%A9d-Armand%20Colin%20%282021%29.epub,23 Mb,French
45,Jésus : l'enquête,https://download.library.lol/main/4319000/f0f8f1b1be646e288104e8d80ba30302/Staune%20Jean%20-%20J%C3%A9sus%2C%20l%27enqu%C3%AAte-Plon%20%282022%29.epub,861 Kb,French
46,Pensées,https://download.library.lol/main/10000/8d7a46ce29ecab4c9871d5e5f1c18f4e/Poincare%20H.%20-%20Dernieres%20pensees.djvu,1 Mb,French
47,Pensées,https://download.library.lol/main/359000/587063768f2b1c0625b28d3578868b43/Diderot%20Denis%20-%20Addition%20aux%20pensees%20philosophiques.pdf,48 Kb,French
48,Pensées,https://download.library.lol/main/359000/0800f84ee275cccd8ba0aae8fc9d4e8a/Locke%20John%20-%20Quelques%20pens%C3%A9es%20sur%20l%27%C3%A9ducation.doc,820 Kb,French
49,Pensées,https://download.library.lol/main/360000/9c6030cb3e296d71785fe501e29c9101/Pascal%20Blaise%20-%20Pensees.epub,303 Kb,English
50,Pensées,https://download.library.lol/main/360000/67f7e7dbbba3cf80524f94c8e2923a6c/Pascal%20Blaise%20-%20Pensees%20-gutenberg.pdf,838 Kb,French
51,Pensées,https://download.library.lol/main/360000/15754b81507a48288ee761768c6301ef/Pascal%20Blaise%20-%20Pensees%20relig.pdf,143 Kb,French
52,Pensées,https://download.library.lol/main/360000/4646ebad5c3d7c904de0649ff780dd7b/Pascal%20Blaise%20-%20Pens%C3%A9es.txt,212 Kb,French
53,Pensées,https://download.library.lol/main/491000/c1e05c655365cf1a3a958bb1df494a14/Blaise%20Pascal%2C%20Roger%20Ariew%20-%20Pensees%20%282005%29.djvu,2 Mb,English
54,Pensées,https://download.library.lol/main/549000/345b07db0969cbd96d89ff009b585877/Oscar%20Wilde%2C%20Alain%20Blanc%20-%20Pens%C3%A9es%2C%20mots%20d%27esprit%2C%20paradoxes.pdf,13 Mb,French
55,Pensées,https://download.library.lol/main/567000/1cfc4ae2bdfa892ccd47f13c92ef2a89/Charles%20M.%20Natoli%20-%20Fire%20in%20the%20Dark_%20Essays%20on%20Pascal%27s%20Pens%C3%A9es%20and%20Provinciales%20%20%28Rochester%20Studies%20in%20Philosophy%29%20%28Rochester%20Studies%20in%20Philosophy%29%20%282005%29.pdf,5 Mb,English
56,Pensées,https://download.library.lol/main/571000/165c011a9e743f5df44aec46eab44397/Danielle%20Birken%2C%20Rany%20Keo%20Kosal%20-%20A%20la%20d%C3%A9couverte%20de%20l%27Asie%20_%20Mieux%20comprendre%20ses%20pens%C3%A9es%20et%20ses%20pratiques.pdf,5 Mb,French
57,Pensées,https://download.library.lol/main/737000/3d71c0ee1048ad0323ab06bd891d7ad3/Pierre%20Hadot%20-%20La%20citadelle%20int%C3%A9rieure.%20Introduction%20aux%20Pens%C3%A9es%20de%20Marc%20Aur%C3%A8le%20%20-Fayard%20%281997%29.pdf,17 Mb,French
58,Pensées,https://download.library.lol/main/769000/bcbe86535c9de20bf94eb320b2044844/Alain%20Connes%2C%20Andr%C3%A9%20Lichnerowicz%2C%20M.-P.%20%28Marcel-Paul%29%20Sch%C3%BCtzenberger%20-%20Triangle%20de%20pens%C3%A9es%20%20-Odile%20Jacob%20%282000%29.djvu,2 Mb,French
59,Pensées,https://download.library.lol/main/802000/fb06abf32bf8d47b04874b479fb6d2f9/Marc%20Aur%C3%A8le%20-%20Pens%C3%A9es%20%C3%A0%20moi-m%C3%AAme%20_%20Anthologie-Mille%20et%20une%20nuits%20%282005%29.epub,949 Kb,French
60,Pensées,https://download.library.lol/main/803000/d825bf882920c570a237c9496332d735/Pierre%20Hadot%20-%20La%20citadelle%20int%C3%A9rieure%20_%20Introduction%20aux%20Pens%C3%A9es%20de%20Marc%20Aur%C3%A8le-Fayard%20%281992%29.pdf,8 Mb,French
61,Pensées,https://download.library.lol/main/832000/d7921cd9a81eff689acc6994c5a2178a/Alain%20Connes%2C%20Andr%C3%A9%20Lichnerowicz%2C%20Marcel-Paul%20Sch%C3%BCtzenberger%20-%20Triangle%20de%20pens%C3%A9es-Espace%2034%20%282000%29.djvu,2 Mb,French
62,Pensées,https://download.library.lol/main/1264000/bb4fb2da8510d3a9d7b210946e39a770/Blaise%20Pascal%2C%20Roger%20Ariew%20-%20Pens%C3%A9es%20%282005%29.djvu,2 Mb,English
63,Pensées,https://download.library.lol/main/1284000/9f2663acc2916f4e85e10c37d3cdeaa1/Lucien%20Goldmann%20-%20The%20Hidden%20God_%20A%20Study%20of%20Tragic%20Vision%20in%20the%20Pensees%20of%20Pascal%20and%20the%20Tragedies%20of%20Racine-Routledge%20%282013%29.pdf,27 Mb,English
64,Pensées,https://download.library.lol/main/1390000/122e27af3cb6e82c4dcefc693f8c9437/Collectif%2C%20J%C3%A9r%C3%B4me%20Blanc%2C%20Ludovic%20Desmedt%20-%20Les%20pens%C3%A9es%20mon%C3%A9taires%20dans%20l%27histoire%20_%20L%27Europe%2C%201517-1776-Editions%20Classiques%20Garnier%20%282014%29.pdf,17 Mb,French
